County,EVAN MCMULLIN (UNA),JAMES ARTHUR HANSEN (LIB),MIKE LEE (REP),TOMMY WILLIAMS (IAP)
Beaver County,419,33,1971,24
Box Elder County,4725,463,14434,276
Cache County,15580,1228,24588,586
Carbon County,2114,230,4265,119
Daggett County,109,4,377,8
Davis County,52806,2897,66385,1654
Duchesne County,912,96,5170,103
Emery County,712,70,3269,56
Garfield County,520,33,1795,37
Grand County,2421,250,1901,71
Iron County,3755,437,12923,194
Juab County,714,70,3886,61
Kane County,946,104,2553,56
Millard County,701,88,4279,62
Morgan County,1358,79,3665,55
Piute County,82,6,692,3
Rich County,206,14,844,9
Salt Lake County,218495,13902,144931,3780
San Juan County,1815,338,3118,289
Sanpete County,1912,150,7829,113
Sevier County,1152,120,6411,92
Summit County,12325,553,7305,171
Tooele County,7487,809,13371,402
Uintah County,1559,203,8905,166
Utah County,72238,4949,127096,1762
Wasatch County,5429,350,7528,157
Washington County,17786,1526,49420,769
Wayne County,415,26,1056,17
Weber County,31265,2756,42007,1011
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,