zip,donations,total,total_population,donations_per_1000
20601,1425,35154.4,26236,54.31468211617624
20602,897,22974.03999999998,26835,33.42649524874231
20603,1449,54640.36000000012,32726,44.276721872517264
20604,58,1159.21,NA,NA
20606,21,293.59999999999997,314,66.87898089171975
20607,578,12869.199999999993,10755,53.74244537424454
20608,26,960.6999999999999,739,35.182679296346414
20609,48,2305.4399999999996,1211,39.63666391412056
20610,40,2338.0399999999995,NA,NA
20611,35,826.2,1354,25.849335302806498
20612,146,717.07,181,806.6298342541437
20613,1242,21712.14999999992,13240,93.80664652567975
20615,156,2400.2400000000016,513,304.093567251462
20616,292,6938.1399999999985,6728,43.40071343638525
20617,122,2581.13,715,170.62937062937064
20618,111,3086.189999999999,402,276.11940298507466
20619,1321,50741.130000000056,13845,95.41350668111231
20620,163,5863.94,1688,96.56398104265402
20621,39,1845.4899999999993,1277,30.540328895849647
20622,383,17405.309999999994,6692,57.232516437537356
20623,103,2147.4399999999996,2619,39.32798778159603
20624,18,727.2300000000001,1242,14.492753623188406
20625,26,1835.3699999999997,929,27.98708288482239
20626,16,1488.6,278,57.55395683453238
20627,3,520.24,NA,NA
20628,88,2661.529999999999,452,194.69026548672565
20630,57,8129.480000000001,192,296.875
20632,74,1660.4599999999996,314,235.6687898089172
20634,2590,41293.05999999995,6961,372.0729780203994
20636,1831,39801.99999999989,11295,162.1071270473661
20637,1342,50569.88999999994,5288,253.78214826021178
20639,4060,78700.29000000027,15216,266.8243953732913
20640,1132,23500.449999999957,11113,101.86268334383155
20645,104,2337.07,653,159.26493108728943
20646,5750,92164.8600000004,22583,254.61630429969446
20650,6687,111278.18000000074,14069,475.30030563650575
20653,2289,45948.46000000004,26112,87.66084558823529
20656,4,4,NA,NA
20657,1350,80439.92000000038,19711,68.48967581553447
20658,11,1121.18,858,12.82051282051282
20659,3755,91069.19000000054,23030,163.04819800260532
20660,2,2000,0,Inf
20662,133,9742.390000000003,2333,57.00814402057436
20664,281,8245.47,3285,85.54033485540336
20667,30,1417.1299999999999,868,34.562211981566826
20670,19,705.89,1620,11.728395061728396
20674,209,9114.100000000006,1082,193.1608133086876
20675,131,4188.69,1662,78.82069795427196
20676,691,23146.85999999999,3631,190.30570090884055
20677,10510,52261.30000000037,2215,4744.920993227991
20678,2547,50940.49999999995,12418,205.10549202770173
20680,44,1978.8000000000002,649,67.79661016949153
20684,75,3987.879999999999,784,95.66326530612244
20685,1045,30678.48999999994,6732,155.22875816993465
20686,5,389.33,1639,3.050640634533252
20687,7,244.3,429,16.317016317016318
20688,2245,37209.47999999994,1945,1154.241645244216
20689,49,2773.0099999999993,2386,20.536462699077955
20690,735,14588.270000000004,950,773.6842105263157
20692,20,1091.63,684,29.239766081871345
20693,52,1714.5400000000006,1171,44.4064901793339
20695,426,14520.069999999992,8400,50.71428571428571
20701,15,1439.8600000000001,760,19.736842105263158
20703,36,1705.4399999999998,NA,NA
20705,805,22559.73999999999,28348,28.397065048680684
20706,1107,29126.840000000055,45329,24.42145205056366
20707,1548,34556.44999999992,32184,48.09843400447427
20708,789,54085.47,26842,29.394232918560466
20709,7,876.03,NA,NA
20710,72,2001.2699999999995,9483,7.592534008225245
20711,727,37307.29999999996,7400,98.24324324324324
20712,173,4516.9000000000005,9649,17.929319100424912
20714,382,12063.769999999988,5331,71.65634965297318
20715,4184,142469.33000000103,27360,152.92397660818713
20716,1680,27480.630000000012,22223,75.59735409260676
20717,1,26.03,NA,NA
20718,1,24.98,NA,NA
20720,1111,34529.47999999995,23618,47.040392920653744
20721,535,14887.369999999986,30121,17.76169449885462
20722,233,3351.6400000000003,5604,41.57744468236974
20723,1100,43215.24999999997,36082,30.486114960368052
20724,696,11786.809999999992,17681,39.364289350149875
20725,12333,55055.410000000214,NA,NA
20726,8,423.17,NA,NA
20732,1193,30932.33999999991,10295,115.88149587178242
20733,781,35883.32,2645,295.2741020793951
20735,1180,22491.139999999927,37009,31.88413629117242
20736,765,36527.33999999994,8715,87.77969018932875
20737,225,5443.21,22666,9.92676255183976
20738,9,132,NA,NA
20740,1193,56220.70999999998,31723,37.60678372159001
20741,34,671.36,NA,NA
20742,1,1,6511,0.1535862386730149
20743,183,4492.559999999999,38747,4.722946292616203
20744,2353,35052.24999999999,54572,43.117349556549144
20745,1032,53411.80999999974,27503,37.523179289532045
20746,140,2967.6399999999994,26396,5.303833914229429
20747,375,12687.24,41128,9.117875899630421
20748,653,14587.360000000004,38720,16.864669421487605
20749,83,79.14999999999999,NA,NA
20750,4,102.06,NA,NA
20751,672,10915.30000000001,1972,340.7707910750507
20753,7,250.49,NA,NA
20754,1336,44534.28999999998,6950,192.23021582733813
20755,167,4977.139999999996,11340,14.72663139329806
20757,6,153.85,NA,NA
20758,135,4327.030000000003,486,277.77777777777777
20759,1027,36052.18999999997,4721,217.53865706418134
20760,3,30.82,NA,NA
20762,48,14706.78,3316,14.475271411338962
20763,71,3276.5099999999993,1955,36.31713554987212
20764,462,12968.499999999998,3482,132.68236645605975
20765,522,6221.2599999999975,530,984.9056603773585
20768,8,446.61,NA,NA
20769,210,15896.250000000004,6172,34.02462734931951
20770,496,21328.509999999966,24602,20.16096252337208
20772,1389,31955.939999999937,46471,29.88960857308859
20773,22,1109.36,NA,NA
20774,841,21914.559999999983,49907,16.85134349890797
20775,8,80,NA,NA
20776,1963,65721.77000000003,2940,667.6870748299319
20777,293,20180.67,3444,85.07549361207897
20778,393,16143.259999999997,2460,159.7560975609756
20779,125,5277.000000000001,956,130.7531380753138
20781,158,10096.329999999998,11460,13.787085514834207
20782,7196,26050.830000000293,32527,221.2315922156977
20783,527,9823.730000000005,45550,11.569703622392975
20784,379,17513.350000000002,30381,12.474902076955992
20785,651,38606.709999999955,39237,16.591482529245354
20791,17,605.24,NA,NA
20794,793,15510.410000000009,16956,46.76810568530314
20797,23,328.5799999999999,NA,NA
20810,7,102.54999999999998,NA,NA
20811,8,255,NA,NA
20812,15,2051.1,323,46.43962848297214
20813,43,670.26,NA,NA
20814,2487,202639.16000000053,29632,83.92953563714903
20815,3805,721210.8099999983,30908,123.1072861395108
20816,2495,284897.07999999885,16661,149.75091531120583
20817,3009,522987.4099999978,38131,78.912171199286675
20818,316,18863.17999999999,2072,152.5096525096525
20824,2,10,NA,NA
20825,4,269.4,NA,NA
20827,174,2008.82,NA,NA
20830,20,467.1,NA,NA
20832,3362,114980.55000000095,25427,132.2216541471664
20833,963,30259.05999999992,7746,124.32223082881487
20837,3241,57977.12000000006,6129,528.79751998694735
20838,24,941.0799999999999,377,63.6604774535809
20839,18,512.8499999999999,139,129.49640287769785
20841,744,21229.879999999983,11692,63.63325350667123
20842,136,10108.009999999995,1467,92.706203135651
20849,62,737.24,NA,NA
20850,5886,203583.64000000095,53522,109.97346885392922
20851,719,18287.63,14519,49.52131689510297
20852,4380,157263.340000001,47338,92.52608897714309
20853,2626,124813.38000000051,31510,83.33862265947319
20854,12131,944799.1799999998,49196,246.58508821855435
20855,2795,92437.87000000042,15955,175.18019429645878
20857,2,50,NA,NA
20859,988,20682.46999999992,NA,NA
20860,292,14416.610000000002,2890,101.03806228373702
20861,257,11465.850000000008,2015,127.54342431761786
20862,70,3784.6399999999976,359,194.98607242339833
20866,1219,25807.389999999996,16974,71.81571815718158
20868,122,2218.01,539,226.34508348794063
20871,4612,80923.96000000063,18961,243.236116238595
20872,1755,39932.7499999999,12790,137.21657544956997
20874,4528,132768.29000000193,60258,75.1435494042285
20875,139,4183.309999999999,NA,NA
20876,3321,59598.96000000026,31703,104.75349336024982
20877,4482,135030.5500000012,37948,118.10899125118583
20878,6764,261582.07000000097,63576,106.39234931420661
20879,1423,46258.66000000008,26343,54.01814523782409
20880,2579,3529.360000000013,530,4866.037735849057
20882,2077,55039.370000000104,14441,143.82660480576138
20883,8,379.61,NA,NA
20884,1,1,NA,NA
20885,26,173.35,NA,NA
20886,2666,44448.79999999998,34887,76.41815002723078
20888,51,227.00000000000003,NA,NA
20889,3,2,NA,NA
20895,1821,84943.84000000029,18930,96.19651347068147
20896,54,6205.740000000002,792,68.18181818181817
20901,1373,39357.02999999992,36802,37.30775501331449
20902,2665,111594.10000000116,52752,50.519411586290566
20903,587,24608.239999999972,26951,21.780267893584654
20904,3751,162519.77000000112,55856,67.15482669722142
20905,1413,51927.54000000004,18590,76.00860677783756
20906,5229,113328.51000000157,70441,74.23233628142701
20907,40,632.9200000000002,NA,NA
20908,1,20.24,NA,NA
20910,4974,124519.65000000046,43729,113.7460266642274
20912,343,14698.359999999997,25118,13.65554582371208
20913,1,52.05,NA,NA
20914,1,100,NA,NA
20915,2,10.42,NA,NA
20916,2,10,NA,NA
20918,1,1,NA,NA
20938,1,250,NA,NA
21001,1059,32703.409999999927,24959,42.429584518610525
21005,51,1740.7099999999998,2724,18.722466960352424
21009,5140,66653.2000000004,31683,162.23211185809424
21010,4,76,329,12.158054711246201
21011,6,194,NA,NA
21012,3137,92377.88000000057,22746,137.91435856853954
21013,1870,51311.059999999954,5157,362.6139228233469
21014,7659,148802.47000000265,35668,214.73029045643153
21015,4943,124358.7200000016,28975,170.595340811044
21017,616,9860.279999999992,6034,102.08816705336426
21020,2,73.93,NA,NA
21022,6,353.2,NA,NA
21023,18,1727.7,NA,NA
21028,651,12705.77,2609,249.52088922958987
21029,996,55820.07999999995,11523,86.43582400416558
21030,2511,108375.52000000064,24152,103.9665452136469
21031,3,121.07,26,115.38461538461539
21032,2557,106763.8800000004,7787,328.3677924746372
21034,196,4830.949999999999,3178,61.67400881057269
21035,1619,105207.05000000031,8315,194.7083583884546
21036,128,7781.639999999995,2243,57.066428889879624
21037,2560,132253.67000000077,21134,121.1318254944639
21040,1925,35919.79999999996,24717,77.8816199376947
21041,24,1808.5100000000002,NA,NA
21042,5156,197983.37000000064,42157,122.30471807766207
21043,6185,122321.36000000112,46747,132.30795559073312
21044,2871,89628.98000000049,45741,62.766445858201614
21045,2114,65944.75000000004,40265,52.50217310319136
21046,1732,41757.79999999992,15597,111.04699621722126
21047,1600,55999.08000000003,12629,126.69253305883285
21048,1342,54494.54000000002,9719,138.08004938779712
21050,2703,80880.23000000008,17846,151.4625126078673
21051,23,1247.9199999999998,231,99.56709956709956
21052,33,576.63,179,184.35754189944134
21053,1337,18719.859999999986,3134,426.61135928525846
21054,1243,55027.50999999999,11697,106.26656407625887
21056,146,61699,333,438.4384384384384
21057,803,30587.219999999958,4109,195.42467753711364
21060,2913,77188.22000000016,36049,80.80667979694304
21061,4334,94884.25000000096,55020,78.77135587059252
21071,73,2712.2000000000007,454,160.79295154185021
21074,1937,41324.14,14933,129.71271680171432
21075,1098,38737.78999999992,34939,31.426199948481642
21076,1184,37133.1999999999,17947,65.97202875132334
21077,3,86.21000000000001,235,12.76595744680851
21078,3100,79610.61000000061,18957,163.52798438571503
21082,236,4434.750000000003,608,388.1578947368421
21084,1880,31766.83999999992,7670,245.11082138200783
21085,2769,60720.31000000001,16318,169.6899129795318
21087,2194,51768.68000000009,5437,403.5313592054442
21088,5,207.86,NA,NA
21090,912,24629.47999999995,9715,93.87545033453422
21092,1,48.93,NA,NA
21093,9103,260605.55000000255,38245,238.01804157406198
21094,15,371.92,NA,NA
21102,1820,33108.76999999995,12043,151.12513493315618
21104,1121,24535.42999999998,6029,185.93464919555484
21106,2,73.93,NA,NA
21108,2665,93759.31000000042,19136,139.2663043478261
21111,900,31044.06999999993,5343,168.44469399213924
21113,2621,93812.13000000057,35210,74.43907980687304
21114,5108,183088.8100000013,26460,193.04610733182162
21117,3482,100675.68000000091,59663,58.3611283374956
21120,1165,36591.729999999945,6775,171.95571955719558
21122,9814,198584.70000000158,59664,164.48779833735585
21123,23,811.1700000000001,NA,NA
21128,1706,38107.33999999993,13967,122.1450562039092
21130,5,202,104,48.07692307692308
21131,986,53588.450000000004,7587,129.95914063529725
21132,1935,26892.71999999997,3162,611.9544592030361
21133,853,11557.729999999961,32714,26.074463532432596
21136,5753,117010.2300000019,34347,167.4964334585262
21139,72,2126.1,NA,NA
21140,372,14685.769999999997,3862,96.32314862765406
21144,4088,93118.1200000007,35680,114.57399103139014
21146,4267,170297.64000000138,27634,154.4112325396251
21150,2,260,NA,NA
21152,506,25937.42999999998,5349,94.59712095718827
21153,84,9404.070000000003,348,241.3793103448276
21154,1432,32637.779999999988,6467,221.43188495438378
21155,225,8949.849999999999,2363,95.21794329242489
21156,38,1853.68,371,102.42587601078166
21157,4538,133764.6600000017,38714,117.21857725887276
21158,2036,62736.160000000025,20773,98.01184229528715
21160,432,7897.949999999998,2615,165.20076481835562
21161,855,25529.959999999937,5738,149.0066225165563
21162,327,8861.850000000008,4089,79.97065297138664
21163,2253,31190.8699999999,6602,341.2602241744926
21164,1,100,NA,NA
21201,1094,21142.500000000044,17534,62.39306490247519
21202,492,22378.099999999966,21880,22.486288848263253
21203,13,4779.48,NA,NA
21204,8428,189115.3200000032,21518,391.6720884840599
21205,80,3283.3199999999997,15900,5.031446540880503
21206,814,20841.259999999973,51670,15.753822334042964
21207,511,14736.519999999984,50440,10.13084853291039
21208,3218,69404.8800000002,35273,91.23125336659768
21209,1197,39362.56999999995,28621,41.82243806994864
21210,586,22138.40999999998,16076,36.451853694948994
21211,373,14625.330000000002,15735,23.705115983476325
21212,1784,57711.109999999935,33865,52.679757862099514
21213,222,5964.939999999996,30596,7.255850437965747
21214,930,10893.830000000009,21666,42.92439767377458
21215,1294,21237.409999999996,55081,23.492674424937817
21216,38,780.86,28733,1.322521142936693
21217,524,7613.850000000001,32830,15.961011270179712
21218,1068,22943.169999999973,46172,23.13090184527419
21219,1407,24274.23999999998,9454,148.82589380156546
21220,6821,123716.15000000082,41067,166.094431051696
21221,3435,71861.3400000003,41899,81.98286355282943
21222,3186,58565.289999999986,56946,55.94773996417659
21223,189,5440.709999999999,21974,8.601073996541368
21224,4252,97096.64000000036,48770,87.18474472011482
21225,1693,20727.42999999996,33227,50.95253859812803
21226,355,6695.000000000005,6699,52.99298402746678
21227,1904,36017.46000000001,33396,57.01281590609654
21228,8380,190287.5699999994,49438,169.50523888506817
21229,1451,43146.999999999956,45983,31.55513994302242
21230,3292,42890.42000000036,33592,97.99952369611813
21231,156,11765.870000000003,15906,9.80761976612599
21234,4150,80660.86000000071,68678,60.42691982876613
21236,5367,102116.84000000118,37803,141.97285929688118
21237,1956,57059.060000000005,31105,62.883780742645875
21239,410,10179.439999999995,30143,13.601831270941844
21240,1,26.03,0,Inf
21241,2,75,NA,NA
21244,549,13203.5,36897,14.879258476298887
21247,7,167.08,NA,NA
21250,2,105.21,2443,0.8186655751125665
21251,50,1973.96,1652,30.26634382566586
21252,4,100,2040,1.9607843137254901
21263,6,84.28,NA,NA
21279,5,73,NA,NA
21284,4,313.29999999999995,NA,NA
21286,3403,97379.96999999994,19711,172.64471614834358
21287,1,1,NA,NA
21401,8690,458704.35999999574,38788,224.03836238011758
21402,64,1129.1299999999999,6460,9.907120743034056
21403,3952,180484.76000000135,31218,126.59363187904415
21404,14,3117.25,NA,NA
21405,107,3649.4200000000005,398,268.84422110552765
21409,4980,188649.09000000064,19304,257.9776212184003
21412,6,172.66000000000003,NA,NA
21501,5,30,NA,NA
21502,4775,103737.06000000116,41735,114.41236372349347
21505,2,42.14,NA,NA
21520,98,3721.2500000000005,2003,48.926610084872685
21521,33,1075.8800000000003,1183,27.895181741335588
21522,1,47,218,4.587155963302752
21523,7,86.89,180,38.88888888888889
21524,20,457.2,831,24.067388688327316
21529,57,1045.86,467,122.05567451820129
21530,89,1889.7500000000002,1923,46.281851274050965
21531,246,7033.79,1744,141.05504587155963
21532,2300,30815.46000000011,14498,158.64257138915713
21536,814,7843.590000000014,3984,204.3172690763052
21538,29,862.24,525,55.23809523809524
21539,32,1421.7499999999998,2664,12.012012012012011
21540,1,21.07,90,11.11111111111111
21541,216,9666.629999999997,1536,140.625
21543,280,4508.579999999999,229,1222.707423580786
21545,64,1568.5600000000002,1771,36.13777526821005
21550,1221,35610.61999999992,14327,85.22370349689398
21552,1,1,NA,NA
21555,98,2438.6499999999987,1501,65.28980679546969
21556,2,53.05,NA,NA
21557,69,1298.9399999999994,1592,43.34170854271357
21560,40,438.4,NA,NA
21561,323,20203.78999999999,2392,135.0334448160535
21562,73,1325.5500000000004,3426,21.30764740221833
21601,3519,198588.0400000003,23338,150.784128888508
21607,10,253.65,770,12.987012987012989
21610,22,612.65,412,53.398058252427184
21612,40,2340.93,597,67.00167504187604
21613,1016,25820.179999999946,17115,59.36313175576979
21617,1393,44502.849999999904,10534,132.23846591987848
21619,1752,53307.83999999997,5789,302.64294351356017
21620,3547,57317.93000000011,12989,273.0772191854646
21622,47,1015.8599999999997,704,66.76136363636363
21623,160,11603.930000000004,2248,71.17437722419929
21624,2,200,115,17.391304347826086
21625,181,6536.09,2401,75.38525614327364
21628,76,1665.3,324,234.5679012345679
21629,702,26028.759999999926,9464,74.17582417582418
21631,106,2140.9599999999996,2708,39.143279172821266
21632,385,8560.209999999992,5885,65.42056074766354
21634,12,660.53,243,49.382716049382715
21635,909,25782.629999999972,1970,461.4213197969543
21636,140,3741.630000000001,837,167.26403823178015
21638,688,24723.95999999996,5227,131.6242586569734
21639,299,4298.609999999999,5410,55.26802218114603
21640,21,870.59,1467,14.314928425357873
21643,129,3421.1600000000003,5956,21.658831430490263
21644,21,1489.06,78,269.2307692307692
21645,799,16686.719999999976,1345,594.0520446096655
21647,2,1046.02,357,5.602240896358543
21648,6,292.18000000000006,126,47.61904761904761
21649,11,251.31,2204,4.99092558983666
21650,36,743.2800000000001,296,121.62162162162163
21651,114,4187.79,2683,42.48975027953783
21652,6,186.32999999999998,149,40.26845637583892
21653,5,115.47999999999999,96,52.083333333333336
21654,475,35940.680000000015,1221,389.025389025389
21655,911,15795.929999999988,4763,191.26600881797188
21657,81,4380.89,727,111.41678129298487
21658,1085,46045.019999999975,4177,259.75580560210676
21659,3060,58483.720000000016,1509,2027.8330019880716
21660,318,8391.409999999993,4361,72.91905526255447
21661,1483,30077.569999999967,2695,550.278293135436
21662,168,15801.980000000007,369,455.2845528455284
21663,1221,42010.009999999944,3715,328.66756393001344
21664,12,606.3299999999999,497,24.14486921529175
21665,55,6186.34,194,283.50515463917526
21666,2612,85565.16000000027,13463,194.01322142167422
21667,5,207,255,19.607843137254903
21668,399,6508.429999999995,1763,226.31877481565513
21669,15,1276.6999999999998,114,131.57894736842104
21671,57,2785.99,808,70.54455445544554
21672,2,46.05,149,13.422818791946309
21673,188,8611.570000000002,3019,62.27227558794303
21675,1,25,57,17.543859649122805
21676,21,710.0500000000001,367,57.22070844686648
21677,128,1134.9900000000007,579,221.07081174438687
21678,43,1922.5899999999997,1549,27.75984506132989
21679,81,2694.7099999999996,272,297.79411764705884
21701,6057,114826.35000000181,38390,157.77546235998958
21702,5174,126991.27000000182,41729,123.99051019674567
21703,2098,67041.95000000004,37048,56.62923774562729
21704,1240,58343.60999999997,16478,75.25185095278553
21705,33,1493.22,4,8250
21710,301,13761.380000000008,4847,62.10026820713844
21711,27,898.0700000000002,1139,23.70500438981563
21713,1288,40229.73999999996,9979,129.071049203327
21714,12,290.82000000000005,179,67.0391061452514
21715,22,502.48,NA,NA
21716,540,16379.819999999992,5453,99.02805794975244
21717,54,1939.79,126,428.57142857142856
21718,6,494.52000000000004,167,35.92814371257485
21719,58,2473.4699999999993,1074,54.00372439478585
21720,6,386.2199999999999,NA,NA
21721,45,432.32,NA,NA
21722,317,9866.599999999995,6389,49.616528408201596
21723,215,3686.479999999998,648,331.79012345679007
21727,756,28446.509999999995,6965,108.54271356783919
21733,22,980.2799999999999,988,22.267206477732792
21734,64,1267.72,840,76.1904761904762
21737,149,9376.609999999997,2476,60.17770597738287
21738,1641,31309.770000000026,3861,425.019425019425
21740,41865,136944.65000000247,60922,687.1901776041495
21741,22,466.39,NA,NA
21742,5487,163741.37000000075,33425,164.15856394913985
21746,9,552.02,3036,2.9644268774703555
21750,165,5061.7199999999975,3787,43.570108265117504
21754,1220,39970.79999999996,7117,171.42054236335537
21755,504,21364.609999999986,5745,87.72845953002611
21756,336,22238.630000000005,2912,115.38461538461539
21757,196,10792.840000000004,2753,71.19505993461678
21758,1294,30557.549999999916,4616,280.32928942807627
21762,53,2202.48,131,404.58015267175574
21765,6,551.1,NA,NA
21766,177,1711.669999999999,660,268.1818181818182
21767,271,2927.9700000000003,694,390.4899135446686
21769,1570,39481.69999999997,11868,132.28850690933604
21770,723,20556.359999999997,6145,117.65663140764849
21771,6746,150894.49000000267,31366,215.0736466237327
21773,402,13039.27,5404,74.38934122871947
21774,2844,60800.73000000003,13618,208.84123953590836
21776,1147,15895.469999999972,6137,186.89913638585628
21777,105,5306.590000000001,2067,50.79825834542816
21778,138,3602.839999999998,930,148.38709677419354
21779,121,6273.829999999999,1712,70.67757009345794
21780,106,3914.229999999999,1864,56.86695278969957
21782,271,8791.65,4348,62.32750689972401
21783,718,14984.93999999998,9637,74.50451385285878
21784,6982,355008.319999996,36484,191.37156013595
21787,1154,26892.229999999985,10194,113.20384539925446
21788,986,20376.149999999998,12241,80.54897475696431
21791,1011,16003.319999999985,5080,199.0157480314961
21793,1537,46443.080000000016,10477,146.7023002767968
21794,384,21564.38999999999,2191,175.26243724326793
21795,917,23988.369999999974,9150,100.21857923497268
21797,2300,90915.01000000055,8558,268.75438186492175
21798,453,9415.339999999993,2412,187.81094527363186
21801,2279,50766.34,30122,75.65898678706594
21802,43,2320.959999999999,98,438.7755102040816
21804,4477,63720.600000000406,39842,112.36885698509111
21810,75,2913.13,656,114.32926829268293
21811,3477,115303.71000000108,24356,142.75743143373296
21813,503,11720.36,2636,190.81942336874053
21814,5,267.12,274,18.24817518248175
21817,551,19574.94999999999,4247,129.73863903932187
21821,73,5392.68,834,87.52997601918464
21822,182,10207.600000000002,1527,119.1879502292076
21824,8,294.93,181,44.19889502762431
21826,1033,11213.05,5317,194.28249012601088
21829,6,113.99,397,15.113350125944583
21830,231,9891.73,4790,48.225469728601254
21835,19,622.25,207,91.78743961352657
21837,85,2525.719999999999,3322,25.586995785671284
21838,168,2872.4799999999996,1805,93.07479224376732
21840,8,342.2,353,22.6628895184136
21841,80,2151.8799999999997,1455,54.982817869415804
21842,6872,94323.41000000104,10525,652.9216152019003
21843,164,18116.730000000003,NA,NA
21849,320,9043.979999999998,3659,87.4555889587319
21850,98,1950.4599999999998,3442,28.471818710052293
21851,1760,13319.82000000002,7237,243.19469393395053
21852,2,2,NA,NA
21853,189,7985.15,11437,16.525312581970795
21856,116,1575.8899999999996,957,121.21212121212122
21861,30,750.4300000000003,687,43.66812227074236
21862,7,266.86,86,81.39534883720931
21863,502,14885.14,4578,109.65487112276102
21864,62,422.49,643,96.42301710730948
21865,553,5861.259999999992,433,1277.1362586605082
21869,162,3811.920000000001,1155,140.25974025974025
21871,6748,28618.619999999828,2031,3322.5012309207286
21872,67,1340.1700000000003,585,114.52991452991452
21874,289,5033.470000000003,1917,150.7563901930099
21875,571,7865.319999999991,7084,80.60417843026539
21901,1807,37834.40000000001,17694,102.1250141290833
21903,722,9080.169999999973,5794,124.61166724197444
21904,429,10706.209999999994,6484,66.1628624305984
21911,2860,39679.05000000002,11103,257.58803926866614
21912,116,4251.120000000001,1520,76.3157894736842
21913,40,1308.4999999999995,901,44.39511653718091
21914,28,1399.7300000000002,804,34.82587064676617
21915,262,10522.589999999998,2739,95.65534866739686
21917,138,3712.3899999999994,2017,68.41844323252356
21918,682,13136.439999999982,4321,157.83383476047212
21919,193,7736.5999999999995,2905,66.43717728055077
21920,8,227.88,953,8.39454354669465
21921,6986,117748.40000000055,45225,154.47208402432284
21922,22,455.97,NA,NA
21930,1,312.3,120,8.333333333333334
22093,2,90,NA,NA
22312,25,2183.76,30327,0.824347940778844
22905,1,47,NA,NA
26876,1,1,NA,NA
27549,1,30,25485,0.039238767902687856
28852,16,268,NA,NA
28878,8,146.55,NA,NA
30328,10,88.02,38685,0.25849812588858734
33371,1,1,NA,NA
35791,1,1,NA,NA
35827,1,1,NA,NA
36339,1,1,NA,NA
36362,6,120,5715,1.0498687664041995
37535,1,1,NA,NA
40752,1,1,NA,NA
41880,1,1,NA,NA
42941,1,1,NA,NA
44593,1,1,NA,NA
46432,1,1,NA,NA
55094,1,1,NA,NA
57404,1,1,NA,NA
57876,1,1,NA,NA
59573,1,1,NA,NA
63584,1,1,NA,NA
68775,1,1,NA,NA
70109,1,1,NA,NA
70287,1,1,NA,NA
70960,1,1,NA,NA
71990,1,1,NA,NA
72605,1,1,NA,NA
75177,1,1,NA,NA
75690,1,1,NA,NA
76381,1,1,NA,NA
79023,1,1,NA,NA
79644,1,1,NA,NA
81779,1,1,NA,NA
83486,1,1,NA,NA
86119,1,1,NA,NA
87963,1,1,NA,NA
88952,1,1,NA,NA
89707,1,1,NA,NA
92348,1,1,NA,NA
97645,1,1,NA,NA
98598,1,1,NA,NA
98677,1,1,NA,NA
